18:20:01:name 'path' is not defined[LOW] -> In resamply.py, line 50
18:20:01:name 'path' is not defined[LOW] -> In resamply.py, line 61
18:20:01:name 'wpath' is not defined[LOW] -> In resamply.py, line 75
18:25:58:name 'path' is not defined[LOW] -> In resamply.py, line 50
18:25:58:name 'path' is not defined[LOW] -> In resamply.py, line 61
18:25:58:name 'wpath' is not defined[LOW] -> In resamply.py, line 75
18:27:43:name 'path' is not defined[LOW] -> In resamply.py, line 50
18:27:43:name 'path' is not defined[LOW] -> In resamply.py, line 61
18:27:43:name 'wpath' is not defined[LOW] -> In resamply.py, line 75
18:30:40:name 'path' is not defined[LOW] -> In resamply.py, line 50
18:30:40:name 'path' is not defined[LOW] -> In resamply.py, line 61
18:31:03:name 'path' is not defined[LOW] -> In resamply.py, line 50
18:31:03:name 'path' is not defined[LOW] -> In resamply.py, line 61
18:31:57:name 'path' is not defined[LOW] -> In resamply.py, line 50
18:31:57:name 'path' is not defined[LOW] -> In resamply.py, line 61
18:32:28:name 'path' is not defined[LOW] -> In resamply.py, line 50
18:32:28:name 'path' is not defined[LOW] -> In resamply.py, line 61
18:32:54:name 'path' is not defined[LOW] -> In resamply.py, line 50
18:32:54:name 'path' is not defined[LOW] -> In resamply.py, line 61
18:33:33:name 'path' is not defined[LOW] -> In resamply.py, line 50
18:33:33:name 'path' is not defined[LOW] -> In resamply.py, line 61
18:34:21:name 'path' is not defined[LOW] -> In resamply.py, line 50
18:34:21:name 'path' is not defined[LOW] -> In resamply.py, line 61
18:35:04:name 'path' is not defined[LOW] -> In resamply.py, line 50
18:35:04:name 'path' is not defined[LOW] -> In resamply.py, line 61
18:35:24:name 'path' is not defined[LOW] -> In resamply.py, line 50
18:35:24:name 'path' is not defined[LOW] -> In resamply.py, line 61
18:36:04:name 'path' is not defined[LOW] -> In resamply.py, line 50
18:36:04:name 'path' is not defined[LOW] -> In resamply.py, line 61
18:36:04:name 'wpath' is not defined[LOW] -> In resamply.py, line 75
18:36:30:name 'path' is not defined[LOW] -> In resamply.py, line 50
